id,date,competition,home,away,result,minute,score,what,how,jersey
23,2007-05-20,PRM,Atlético Madrid,FC Barcelona,0-6,39,0-1,,Left foot,19
24,2007-05-20,PRM,Atlético Madrid,FC Barcelona,0-6,80,0-5,,Left foot,19
25,2007-06-05,FRN,Argentina,Algeria,4-3,54,2-2,Penalty,Left foot,18
26,2007-06-05,FRN,Argentina,Algeria,4-3,73,4-2,,Left foot,18
27,2007-06-09,PRM,FC Barcelona,Espanyol,2-2,43,1-1,,Hand,19
28,2007-06-09,PRM,FC Barcelona,Espanyol,2-2,57,2-1,,Right foot,19
29,2007-06-17,PRM,Gimnàstic,FC Barcelona,1-5,35,0-2,,Left foot,19
30,2007-06-17,PRM,Gimnàstic,FC Barcelona,1-5,51,0-4,,Left foot,19
31,2007-07-09,CPA,Argentina,Peru,4-0,61,2-0,,Left foot,18
32,2007-07-12,CPA,Mexico,Argentina,0-3,61,0-2,,Left foot,18
33,2007-09-19,EUR,FC Barcelona,Olympique Lyon,3-0,83,2-0,,Left foot,19
34,2007-09-22,PRM,FC Barcelona,Sevilla,2-1,74,1-0,,Left foot,19
35,2007-09-22,PRM,FC Barcelona,Sevilla,2-1,80,2-0,Penalty,Left foot,19
36,2007-09-26,PRM,FC Barcelona,Real Zaragoza,4-1,5,1-0,,Left foot,19
37,2007-09-26,PRM,FC Barcelona,Real Zaragoza,4-1,11,2-1,,Left foot,19
38,2007-09-29,PRM,Levante,FC Barcelona,1-4,51,0-4,,Left foot,19
39,2007-10-02,EUR,VfB Stuttgart,FC Barcelona,0-2,67,0-2,,Right foot,19
40,2007-10-07,PRM,FC Barcelona,Atlético Madrid,3-0,19,2-0,,Left foot,19
41,2007-10-17,WCQ,Venezuela,Argentina,0-2,43,0-2,,Left foot,18
42,2007-10-28,PRM,FC Barcelona,UD Almería,2-0,81,2-0,Penalty,Left foot,19
43,2007-11-07,EUR,FC Barcelona,Glasgow Rangers,2-0,43,2-0,Rebound,Left foot,19
44,2007-11-21,WCQ,Colombia,Argentina,2-1,36,0-1,Solo run,Left foot,18
45,2007-11-24,PRM,FC Barcelona,Recreativo Huelva,3-0,82,3-0,Penalty,Left foot,19
46,2007-11-27,EUR,Olympique Lyon,FC Barcelona,2-2,58,1-2,Penalty,Left foot,19
47,2008-02-20,EUR,Celtic,FC Barcelona,2-3,18,1-1,,Left foot,19
48,2008-02-20,EUR,Celtic,FC Barcelona,2-3,79,2-3,,Left foot,19
49,2008-02-24,PRM,FC Barcelona,Levante,5-1,44,2-1,,Left foot,19
50,2008-05-04,PRM,FC Barcelona,Valencia,6-0,6,1-0,Penalty,Left foot,19
51,2008-06-05,FRN,Mexico,Argentina,1-4,18,0-2,,Left foot,18
52,2008-09-13,PRM,FC Barcelona,Racing Santander,1-1,71,1-0,Penalty,Left foot,10
53,2008-09-21,PRM,Sporting Gijón,FC Barcelona,1-6,85,1-5,,Left foot,10
54,2008-09-21,PRM,Sporting Gijón,FC Barcelona,1-6,89,1-6,,Head,10
55,2008-09-27,PRM,Espanyol,FC Barcelona,1-2,90+7,1-2,Penalty,Left foot,10
56,2008-10-01,EUR,Shakhtar Donetsk,FC Barcelona,1-2,87,1-1,Rebound,Right foot,10
57,2008-10-01,EUR,Shakhtar Donetsk,FC Barcelona,1-2,90+4,1-2,,Left foot,10
58,2008-10-04,PRM,FC Barcelona,Atlético Madrid,6-1,9,3-0,Free kick,Left foot,10
59,2008-10-11,WCQ,Argentina,Uruguay,2-1,6,1-0,,Head,18
60,2008-10-22,EUR,FC Basel,FC Barcelona,0-5,4,0-1,,Left foot,10
61,2008-11-01,PRM,Málaga,FC Barcelona,1-4,19,1-2,,Left foot,10
62,2008-11-04,EUR,FC Barcelona,FC Basel,1-1,62,1-0,,Left foot,10
63,2008-11-12,CUP,FC Barcelona,Benidorm,1-0,87,1-0,Rebound,Left foot,10
64,2008-11-16,PRM,Recreativo Huelva,FC Barcelona,0-2,52,0-1,,Left foot,10
65,2008-11-26,EUR,Sporting Lisbon,FC Barcelona,2-5,49,0-3,,Left foot,10
66,2008-11-29,PRM,Sevilla,FC Barcelona,0-3,78,0-2,,Left foot,10
67,2008-11-29,PRM,Sevilla,FC Barcelona,0-3,90+2,0-3,,Left foot,10
68,2008-12-13,PRM,FC Barcelona,Real Madrid,2-0,90+1,2-0,,Left foot,10
69,2009-01-06,CUP,Atlético Madrid,FC Barcelona,1-3,13,0-1,,Left foot,10
70,2009-01-06,CUP,Atlético Madrid,FC Barcelona,1-3,57,0-2,Penalty,Left foot,10
71,2009-01-06,CUP,Atlético Madrid,FC Barcelona,1-3,80,1-3,,Right foot,10
72,2009-01-11,PRM,Osasuna,FC Barcelona,2-3,85,2-3,,Left foot,10
73,2009-01-17,PRM,FC Barcelona,Deportivo La Coruña,5-0,21,1-0,,Left foot,10
74,2009-01-24,PRM,FC Barcelona,Numancia,4-1,49,1-0,,Left foot,10
75,2009-01-24,PRM,FC Barcelona,Numancia,4-1,76,4-1,Rebound,Right foot,10
76,2009-02-01,PRM,Racing Santander,FC Barcelona,1-2,65,1-1,Rebound,Right foot,10
77,2009-02-01,PRM,Racing Santander,FC Barcelona,1-2,81,1-2,,Right foot,10
78,2009-02-11,FRN,France,Argentina,0-2,83,0-2,Solo run,Left foot,18
79,2009-03-01,PRM,Atlético Madrid,FC Barcelona,4-3,30,0-2,,Left foot,10
80,2009-03-04,CUP,Real Mallorca,FC Barcelona,1-1,81,1-1,,Left foot,10
81,2009-03-07,PRM,FC Barcelona,Athletic de Bilbao,2-0,32,2-0,Penalty,Left foot,10
82,2009-03-11,EUR,FC Barcelona,Olympique Lyon,5-2,40,3-0,,Left foot,10
83,2009-03-22,PRM,FC Barcelona,Málaga,6-0,25,2-0,,Right foot,10
84,2009-03-28,WCQ,Argentina,Venezuela,4-0,26,1-0,,Left foot,10
85,2009-04-08,EUR,FC Barcelona,Bayern München,4-0,9,1-0,,Left foot,10
86,2009-04-08,EUR,FC Barcelona,Bayern München,4-0,38,3-0,,Right foot,10
87,2009-04-18,PRM,Getafe,FC Barcelona,0-1,19,0-1,,Left foot,10
88,2009-04-25,PRM,Valencia,FC Barcelona,2-2,24,0-1,,Left foot,10
89,2009-05-02,PRM,Real Madrid,FC Barcelona,2-6,36,1-3,,Left foot,10
90,2009-05-02,PRM,Real Madrid,FC Barcelona,2-6,75,2-5,,Left foot,10
91,2009-05-13,CUP,Athletic de Bilbao,FC Barcelona,1-4,55,1-2,,Left foot,10
92,2009-05-27,EUR,FC Barcelona,Manchester United,2-0,70,2-0,,Head,10
93,2009-08-23,SUP,FC Barcelona,Athletic de Bilbao,3-0,50,1-0,,Right foot,10
94,2009-08-23,SUP,FC Barcelona,Athletic de Bilbao,3-0,68,2-0,Penalty,Left foot,10
95,2009-09-12,PRM,Getafe,FC Barcelona,0-2,80,0-2,,Head,10
96,2009-09-19,PRM,FC Barcelona,Atlético Madrid,5-2,16,2-0,,Left foot,10
97,2009-09-19,PRM,FC Barcelona,Atlético Madrid,5-2,90+4,5-2,,Right foot,10
98,2009-09-22,PRM,Racing Santander,FC Barcelona,1-4,24,0-2,,Left foot,10
99,2009-09-22,PRM,Racing Santander,FC Barcelona,1-4,63,0-4,,Left foot,10
100,2009-09-29,EUR,FC Barcelona,Dynamo Kyiv,2-0,26,1-0,,Left foot,10
101,2009-10-25,PRM,FC Barcelona,Real Zaragoza,6-1,80,5-1,,Left foot,10
102,2009-11-07,PRM,FC Barcelona,Real Mallorca,4-2,87,4-1,Penalty,Left foot,10
