date,competition,home,away,result,minute,score,what,how,video_start,video_end
2015-03-08,PRM,FC Barcelona,Rayo Vallecano,6-1,56,3-0,Penalty,Left foot
2015-03-08,PRM,FC Barcelona,Rayo Vallecano,6-1,68,5-0,,Left foot
2015-02-28,PRM,Granada,FC Barcelona,1-3,70,1-3,,Right foot
2015-02-15,PRM,FC Barcelona,Levante,5-0,38,2-0,,Right foot
2015-02-15,PRM,FC Barcelona,Levante,5-0,65,4-0,Penalty,Left foot
2015-02-15,PRM,FC Barcelona,Levante,5-0,59,3-0,,Right foot
2015-02-11,CUP,FC Barcelona,Villarreal,3-1,41,1-0,,Left foot
2015-02-08,PRM,Athletic de Bilbao,FC Barcelona,2-5,15,0-1,Free kick,Left foot
2015-02-01,PRM,FC Barcelona,Villarreal,3-2,55,3-2,,Right foot
2015-01-24,PRM,Elche,FC Barcelona,0-6,55,0-2,Penalty,Left foot
2015-01-24,PRM,Elche,FC Barcelona,0-6,88,0-5,,Left foot
2015-01-21,CUP,FC Barcelona,Atlético Madrid,1-0,85,1-0,Rebound,Left foot
2015-01-18,PRM,Deportivo La Coruña,FC Barcelona,0-4,10,0-1,,Head
2015-01-18,PRM,Deportivo La Coruña,FC Barcelona,0-4,62,0-3,,Left foot
2015-01-18,PRM,Deportivo La Coruña,FC Barcelona,0-4,33,0-2,,Left foot
2015-01-11,PRM,FC Barcelona,Atlético Madrid,3-1,87,3-1,,Left foot
2015-01-08,CUP,FC Barcelona,Elche,5-0,45,3-0,Penalty,Left foot
2014-12-20,PRM,FC Barcelona,Córdoba,5-0,82,4-0,,Right foot
2014-12-20,PRM,FC Barcelona,Córdoba,5-0,90+1,5-0,,Right foot
2014-12-10,EUR,FC Barcelona,Paris Saint-Germain,3-1,19,1-1,,Right foot
2014-12-07,PRM,FC Barcelona,Espanyol,5-1,50,2-1,,Right foot
2014-12-07,PRM,FC Barcelona,Espanyol,5-1,45,1-1,,Left foot
2014-12-07,PRM,FC Barcelona,Espanyol,5-1,81,5-1,,Right foot
2014-11-25,EUR,APOEL FC,FC Barcelona,0-4,38,0-2,,Right foot
2014-11-25,EUR,APOEL FC,FC Barcelona,0-4,87,0-4,,Right foot
2014-11-25,EUR,APOEL FC,FC Barcelona,0-4,58,0-3,,Right foot
2014-11-22,PRM,FC Barcelona,Sevilla,5-1,21,1-0,Free kick,Left foot
2014-11-22,PRM,FC Barcelona,Sevilla,5-1,72,4-1,,Right foot
2014-11-22,PRM,FC Barcelona,Sevilla,5-1,78,5-1,,Left foot
2014-11-12,FRN,Argentina,Croatia,2-1,57,2-1,Penalty,Left foot
2014-11-05,EUR,Ajax,FC Barcelona,0-2,36,0-1,,Head
2014-11-05,EUR,Ajax,FC Barcelona,0-2,76,0-2,,Left foot
2014-10-21,EUR,FC Barcelona,Ajax,3-1,24,2-0,,Left foot
2014-10-18,PRM,FC Barcelona,Eibar,3-0,74,3-0,,Left foot
2014-10-14,FRN,Hong Kong,Argentina,0-7,66,0-5,,Left foot
2014-10-14,FRN,Hong Kong,Argentina,0-7,84,0-7,Solo run,Left foot
2014-10-04,PRM,Rayo Vallecano,FC Barcelona,0-2,35,0-1,,Left foot
2014-09-30,EUR,Paris Saint-Germain,FC Barcelona,3-2,11,1-1,,Left foot
2014-09-27,PRM,FC Barcelona,Granada,6-0,62,4-0,,Head
2014-09-27,PRM,FC Barcelona,Granada,6-0,82,6-0,,Right foot
2014-09-21,PRM,Levante,FC Barcelona,0-5,77,0-5,,Right foot
2014-08-24,PRM,FC Barcelona,Elche,3-0,42,1-0,,Left foot
2014-08-24,PRM,FC Barcelona,Elche,3-0,63,3-0,,Left foot
2014-06-25,WCP,Nigeria,Argentina,2-3,3,0-1,Rebound,Left foot
2014-06-25,WCP,Nigeria,Argentina,2-3,45+1,1-2,Free kick,Left foot
2014-06-21,WCP,Argentina,Iran,1-0,90+1,1-0,,Left foot
2014-06-16,WCP,Argentina,Bosnia-Herzegovina,2-1,65,2-0,Solo run,Left foot
2014-06-07,FRN,Argentina,Slovenia,2-0,75,2-0,,Left foot
2014-05-03,PRM,FC Barcelona,Getafe,2-2,23,1-0,,Left foot
2014-04-27,PRM,Villarreal,FC Barcelona,2-3,83,2-3,,Right foot
2014-04-20,PRM,FC Barcelona,Athletic de Bilbao,2-1,74,2-1,Free kick,Left foot
2014-04-05,PRM,FC Barcelona,Real Betis,3-1,15,1-0,Penalty,Left foot
2014-04-05,PRM,FC Barcelona,Real Betis,3-1,86,3-1,Rebound,Right foot
2014-03-29,PRM,Espanyol,FC Barcelona,0-1,77,0-1,Penalty,Left foot
2014-03-26,PRM,FC Barcelona,Celta de Vigo,3-0,30,2-0,,Right foot
2014-03-23,PRM,Real Madrid,FC Barcelona,3-4,42,2-2,,Left foot
2014-03-23,PRM,Real Madrid,FC Barcelona,3-4,84,3-4,Penalty,Left foot
2014-03-23,PRM,Real Madrid,FC Barcelona,3-4,65,3-3,Penalty,Left foot
2014-03-16,PRM,FC Barcelona,Osasuna,7-0,18,1-0,,Left foot
2014-03-16,PRM,FC Barcelona,Osasuna,7-0,88,6-0,,Right foot
2014-03-16,PRM,FC Barcelona,Osasuna,7-0,63,4-0,,Left foot
2014-03-12,EUR,FC Barcelona,Manchester City,2-1,67,1-0,,Left foot
2014-03-02,PRM,FC Barcelona,UD Almería,4-1,24,2-0,Free kick,Left foot
