date,competition,home,away,home_goals,away_goals,lineup,minutes,goals,assists,cards,minutes_acum,goals_acum,assists_acum
2015-05-06,EUR,FC Barcelona,Bayern München,3,0,ST,90,2,1,0,45660,452,183
2015-05-09,PRM,FC Barcelona,Real Sociedad,2,0,ST,90,0,0,0,45750,452,183
2015-05-12,EUR,Bayern München,FC Barcelona,3,2,ST,90,0,0,0,45840,452,183
2015-05-17,PRM,Atlético Madrid,FC Barcelona,0,1,ST,90,1,0,1,45930,453,183
2015-05-23,PRM,FC Barcelona,Deportivo La Coruña,2,2,ST,90,2,0,0,46020,455,183
2015-05-30,CUP,Athletic de Bilbao,FC Barcelona,1,3,ST,90,2,0,0,46110,457,183
2015-06-06,EUR,Juventus,FC Barcelona,1,3,ST,90,0,0,0,46200,457,183
2015-06-13,CPA,Argentina,Paraguay,2,2,ST,90,1,0,0,46290,458,183
2015-06-16,CPA,Argentina,Uruguay,1,0,ST,90,0,0,0,46380,458,183
2015-06-20,CPA,Argentina,Jamaica,1,0,ST,90,0,0,0,46470,458,183
2015-06-26,CPA,Argentina,Colombia,0,0,ST,90,0,0,1,46560,458,183
2015-06-30,CPA,Argentina,Paraguay,6,1,ST,90,0,3,0,46650,458,186
2015-07-04,CPA,Chile,Argentina,0,0,ST,120,0,0,0,46770,458,186
2015-08-11,IUP,FC Barcelona,Sevilla,5,4,ST,120,2,0,0,46890,460,186
2015-08-14,SUP,Athletic de Bilbao,FC Barcelona,4,0,ST,90,0,0,0,46980,460,186
2015-08-17,SUP,FC Barcelona,Athletic de Bilbao,1,1,ST,90,1,0,0,47070,461,186
2015-08-23,PRM,Athletic de Bilbao,FC Barcelona,0,1,ST,90,0,0,0,47160,461,186
2015-08-29,PRM,FC Barcelona,Málaga,1,0,ST,90,0,0,0,47250,461,186
2015-09-04,FRN,Argentina,Bolivia,7,0,SU,27,2,0,0,47277,463,186
2015-09-08,FRN,Argentina,Mexico,2,2,ST,90,1,0,0,47367,464,186
2015-09-12,PRM,Atlético Madrid,FC Barcelona,1,2,SU,31,1,0,0,47398,465,186
2015-09-16,EUR,AS Roma,FC Barcelona,1,1,ST,90,0,0,0,47488,465,186
2015-09-20,PRM,FC Barcelona,Levante,4,1,ST,90,2,1,0,47578,467,187
2015-09-23,PRM,Celta de Vigo,FC Barcelona,4,1,ST,90,0,1,0,47668,467,188
2015-09-26,PRM,FC Barcelona,Las Palmas,2,1,ST,9,0,0,0,47677,467,188
2015-11-21,PRM,Real Madrid,FC Barcelona,0,4,SU,35,0,0,0,47712,467,188
2015-11-24,EUR,FC Barcelona,AS Roma,6,1,ST,90,2,1,1,47802,469,189
2015-11-28,PRM,FC Barcelona,Real Sociedad,4,0,ST,90,1,0,0,47892,470,189
2015-12-05,PRM,Valencia,FC Barcelona,1,1,ST,90,0,1,0,47982,470,190
2015-12-09,EUR,Bayer Leverkusen,FC Barcelona,1,1,ST,90,1,0,0,48072,471,190
2015-12-12,PRM,FC Barcelona,Deportivo La Coruña,2,2,ST,90,1,1,0,48162,472,191
2015-12-20,WCT,CA River Plate,FC Barcelona,0,3,ST,90,1,0,0,48252,473,191
2015-12-30,PRM,FC Barcelona,Real Betis,4,0,ST,90,1,0,0,48342,474,191
2016-01-02,PRM,Espanyol,FC Barcelona,0,0,ST,90,0,0,0,48432,474,191
2016-01-06,CUP,FC Barcelona,Espanyol,4,1,ST,90,2,2,1,48522,476,193
2016-01-09,PRM,FC Barcelona,Granada,4,0,ST,90,3,0,0,48612,479,193
2016-01-13,CUP,Espanyol,FC Barcelona,0,2,ST,90,0,1,0,48702,479,194
2016-01-17,PRM,FC Barcelona,Athletic de Bilbao,6,0,ST,45,1,0,0,48747,480,194
2016-01-23,PRM,Málaga,FC Barcelona,1,2,ST,90,1,0,1,48837,481,194
2016-01-27,CUP,FC Barcelona,Athletic de Bilbao,3,1,ST,90,0,1,0,48927,481,195
2016-01-30,PRM,FC Barcelona,Atlético Madrid,2,1,ST,90,1,0,0,49017,482,195
2016-02-03,CUP,FC Barcelona,Valencia,7,0,ST,90,3,0,0,49107,485,195
2016-02-07,PRM,Levante,FC Barcelona,0,2,ST,90,0,1,0,49197,485,196
2016-02-14,PRM,FC Barcelona,Celta de Vigo,6,1,ST,90,1,2,0,49287,486,198
2016-02-17,PRM,Sporting Gijón,FC Barcelona,1,3,ST,90,2,0,0,49377,488,198
2016-02-20,PRM,Las Palmas,FC Barcelona,1,2,ST,90,0,0,0,49467,488,198
2016-02-23,EUR,Arsenal,FC Barcelona,0,2,ST,90,2,0,0,49557,490,198
2016-02-28,PRM,FC Barcelona,Sevilla,2,1,ST,90,1,0,0,49647,491,198
2016-03-03,PRM,Rayo Vallecano,FC Barcelona,1,5,ST,90,3,0,0,49737,494,198
2016-03-06,PRM,Eibar,FC Barcelona,0,4,ST,90,2,0,0,49827,496,198
2016-03-12,PRM,FC Barcelona,Getafe,6,0,ST,90,1,3,0,49917,497,201
2016-03-16,EUR,FC Barcelona,Arsenal,3,1,ST,90,1,0,0,50007,498,201
2016-03-20,PRM,Villarreal,FC Barcelona,2,2,ST,90,0,0,0,50097,498,201
2016-03-24,WCQ,Chile,Argentina,1,2,ST,90,0,0,0,50187,498,201
2016-03-29,WCQ,Argentina,Bolivia,2,0,ST,90,1,0,0,50277,499,201
2016-04-02,PRM,FC Barcelona,Real Madrid,1,2,ST,90,0,0,0,50367,499,201
2016-04-05,EUR,FC Barcelona,Atlético Madrid,2,1,ST,90,0,0,0,50457,499,201
